FishKey,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90,Age_91,Age_92,Age_93,Age_94,Age_95,Age_96,Age_97,Age_98,Age_99,Age_100,Age_101,Age_102,Age_103,Age_104,Age_105,Age_106,Age_107,Age_108,Age_109,Age_110,Age_111,Age_112,Age_113,Age_114,Age_115,Age_116,Age_117,Age_118,Age_119,Age_120,Age_121,Age_122,Age_123,Age_124,Age_125,Age_126,Age_127,Age_128,Age_129,Age_130,Age_131,Age_132,Age_133,Age_134,Age_135,Age_136,Age_137,Age_138,Age_139,Age_140,Age_141,Age_142,Age_143,Age_144,Age_145,Age_146,Age_147,Age_148,Age_149,Age_150,Age_151,Age_152,Age_153,Age_154,Age_155,Age_156,Age_157,Age_158,Age_159,Age_160,Age_161,Age_162,Age_163
102_FEB_LAP02,2.329353446,2.918930888,3.280314849,3.772095085,4.276914949,5.01831091,5.684263313,6.122953637,6.65571556,7.375689276,8.196254405,9.398694338,10.50147426,11.51204539,12.80296851,13.82099085,15.00945976,16.05449276,17.57174655,18.7788435,19.73446191,20.40972833,20.96950091,21.55721555,22.30047432,22.94407307,23.69385165,24.09249169,24.63084202,25.30517704,26.0456416,26.53555904,26.98170058,27.33004491,27.82461935,28.26610388,28.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103_FEB_LAP01,2.295019195,2.865025665,3.335233022,3.775692567,4.500195739,5.242931442,6.100819967,6.831080781,7.927911412,8.882720229,9.884549782,10.97562277,11.80664231,12.78927972,13.7105023,14.4254094,15.28137871,16.28416787,17.50286857,18.74939787,19.62935736,20.75113777,21.37296301,22.01110156,22.60701742,23.24995401,23.88329453,24.40340144,25.09143955,25.73437614,26.45216207,27.09126023,27.73611604,28.095009,28.46541724,29.01815079,29.55457102,29.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104_FEB_LAP02,2.810176208,3.381014158,3.859750523,4.290517313,4.769253678,5.339132236,6.047163173,6.618001123,7.416214862,8.516636928,9.543185847,10.40471943,11.25282152,12.07502005,12.76866011,13.65513787,14.5109151,15.51251984,16.48342405,17.30658197,18.08656727,18.76006011,19.69834501,20.29316775,21.29765067,21.86177287,22.48153979,23.07348436,23.67022588,24.39648525,25.19469899,25.10835376,25.75210546,26.42176074,26.95997938,27.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105_FEB_LAP02,2.098084398,2.659811201,3.260998152,3.8157614,4.387546672,4.925287896,5.695147634,6.264611721,7.003522323,7.686724482,8.205122496,8.985814431,9.823762266,10.50541697,11.38901478,12.3492117,13.31946708,14.17753186,15.23444482,16.06620283,16.94515827,17.50920626,18.01290343,18.49029384,18.98780119,19.5851195,19.97662606,20.55073252,20.92134841,21.28886939,21.74923778,22.18407313,22.58718561,23.07927686,23.46768851,24.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107_FEB_LAP01,2.300998813,2.928681026,3.603190325,4.330504636,5.104646032,5.887754317,6.836251884,7.674157822,8.596751043,10.00255994,11.20910464,12.49834397,13.73178934,15.00907283,16.34513925,17.53076121,18.66158552,19.98968137,21.01290301,21.82091932,22.58410119,23.22772454,23.81156863,24.42032074,25.02409125,25.59299053,26.21967642,26.78757937,27.46408132,28.06087758,28.88184606,29.44775637,30.27271014,30.96316057,31.66357422,32.28926379,32.71867813,33.12617341,33.6103854,33.95013085,34.36958198,34.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108_APRIL_LAP01,1.53056767,1.817127462,2.14979217,2.5512596,2.935703676,3.266949771,3.715231425,4.227350656,4.740888499,5.24307744,5.816906329,6.333990705,6.847528548,7.487322933,8.048384307,8.565468682,9.220158502,9.989046655,10.77353955,11.69918442,12.33401366,12.67944588,12.94543579,13.30718206,13.57459058,13.90583667,14.27112947,14.65131771,14.87333062,15.08044809,15.29536794,15.73230069,16.02311632,16.30967611,16.67993406,17.03316865,17.35377515,17.74814952,18.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109_APRIL_LAP01,2.720800646,3.221151495,3.867870537,4.536389099,5.186222358,6.105954416,7.374478766,8.161337569,9.018785289,10.29769036,11.19354676,12.0987458,13.11294244,13.9651998,14.92645475,15.81089235,16.61643645,17.46869381,18.42787261,19.49293479,20.2382707,21.05627168,21.92410012,22.71511121,23.18328182,23.87048568,24.4694534,24.91271027,25.32482497,25.77534835,26.18850113,26.60995848,27.15079415,27.64284042,28.05080283,28.4940597,28.95392573,29.37330694,29.77296478,30.20272671,30.55878551,30.90965395,31.36329154,31.79928191,32.15015034,32.50205685,32.89963855,33.34081927,33.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_JUN_LAP01,3.214933581,3.689203356,4.041080931,4.474553306,5.231855044,6.063102069,6.641915182,7.529258632,8.76592982,9.808813358,10.71783043,11.81298563,12.83547047,13.8847286,15.18642065,16.38229444,17.53737082,19.15141796,20.8062625,22.99019832,23.98463494,25.10273869,26.15454666,26.87997543,27.60667911,28.17146812,29.04606238,29.78424034,30.49309516,31.04895974,31.50538065,32.13264068,32.6846805,33.20994702,33.75688717,34.35227422,34.91196355,35.5200998,36.01349335,36.4520654,36.9824316,37.46690073,37.91439721,38.1923295,38.59647874,39.26963584,39.75920464,40.34439235,41.07619571,41.60146224,41.89596847,42.62904675,43.41694654,44.14237531,44.85887964,45.41219438,46.02160554,46.74958415,47.17668193,47.68154976,48.10737262,48.54339483,49.10053433,49.49703406,49.9075579,50.32700617,50.64828569,50.83569875,51.18375157,51.62742329,52.11954193,52.55173938,53.09995445,53.52195255,53.87000537,54.19638457,54.42459503,54.77519769,55.15129872,55.69058935,56.2043816,56.63530414,57.22686644,57.58384369,57.99181769,58.49796044,58.84346342,59.30753384,59.74483097,60.01766359,60.34404279,60.68444609,61.07457123,61.41369962,61.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110_APRIL_LAP01,2.137425236,2.715471489,3.249437958,3.889596633,4.46263382,5.081754417,5.550603024,6.038486083,6.446224081,7.065344678,7.805684679,9.004855156,10.24910723,11.45729402,12.46812361,13.85663679,14.99269303,16.03958789,17.22974205,18.45596148,19.66515009,20.54874939,21.68680925,22.38607491,23.07532244,23.85473316,24.56301513,25.1039943,25.62994626,26.15589822,26.71190458,27.22483297,27.66963806,28.23666437,28.73456556,29.3797333,29.78246224,30.19020023,30.78127006,31.23909872,31.78308332,32.30703166,32.88607972,33.29381772,33.84982408,34.24453851,34.70336898,35.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111_APRIL_LAP01,2.129637662,2.583858447,2.990781555,3.467835701,4.211550881,4.932432701,5.528546513,6.447589286,7.365816581,8.298722465,9.169652085,10.30316535,11.10233298,12.00506621,12.81075766,13.75263379,14.72223615,15.4741061,16.26919634,16.73972667,17.24532252,17.77130529,18.15539504,18.62429441,19.17881889,19.73823623,20.22262967,20.73801124,21.14901174,21.47030974,21.88864953,22.23930471,22.57283488,22.8900555,23.16976417,23.30513338,23.67862192,24.01296756,24.42315258,24.81784353,25.2476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
